Drug ID, Target ID, score, label 
D00493, hsa2918, 4.5327, 1 
D00480, hsa2918, 4.2864, 1 
D00493, hsa2914, 4.2584, 1 
D00494, hsa2918, 4.1692, 1 
D00270, hsa2918, 4.1651, 1 
D00493, hsa2917, 4.1363, 1 
D01390, hsa2918, 4.0359, 1 
D02150, hsa2918, 4.0359, 1 
D00480, hsa2914, 4.0122, 1 
D00493, hsa2916, 3.9426, 1 
D00493, hsa338442, 3.9321, 1 
D02354, hsa2918, 3.9161, 1 
D00494, hsa2914, 3.8951, 1 
D00270, hsa2914, 3.8911, 1 
D00480, hsa2917, 3.8903, 1 
D00493, hsa8843, 3.8613, 1 
D00493, hsa222545, 3.8466, 1 
D00493, hsa2913, 3.8163, 1 
D00493, hsa2912, 3.8097, 1 
D03879, hsa2918, 3.7994, 1 
D03621, hsa2918, 3.7913, 1 
D01358, hsa2918, 3.7873, 1 
D00494, hsa2917, 3.7732, 1 
D00270, hsa2917, 3.7692, 1 
D03858, hsa2918, 3.7635, 1 
D01390, hsa2914, 3.7619, 1 
D02150, hsa2914, 3.7619, 1 
D03881, hsa2918, 3.7227, 1 
D00503, hsa2918, 3.7031, 1 
D00632, hsa2918, 3.7025, 1 
D00480, hsa2916, 3.6966, 1 
D00480, hsa338442, 3.6863, 1 
D02354, hsa2914, 3.6423, 1 
D01390, hsa2917, 3.6401, 1 
D02150, hsa2917, 3.6401, 1 
D00480, hsa8843, 3.6155, 1 
D00493, hsa2550, 3.6029, 1 
D00480, hsa222545, 3.6008, 1 
D00493, hsa9283, 3.5921, 1 
D00494, hsa2916, 3.5797, 1 
D00270, hsa2916, 3.5756, 1 
D00493, hsa1268, 3.5749, 1 
D00480, hsa2913, 3.5705, 1 
D00494, hsa338442, 3.5693, 1 
D00493, hsa2911, 3.5658, 1 
D00270, hsa338442, 3.5652, 1 
D00480, hsa2912, 3.5639, 1 
D00493, hsa2915, 3.5449, 1 
D01118, hsa2918, 3.5354, 1 
D03879, hsa2914, 3.5256, 1 
D02354, hsa2917, 3.5205, 1 
D03621, hsa2914, 3.5176, 1 
D00371, hsa2918, 3.5139, 1 
D01358, hsa2914, 3.5136, 1 
D00494, hsa8843, 3.4986, 1 
D00270, hsa8843, 3.4945, 1 
D03858, hsa2914, 3.4898, 1 
D00494, hsa222545, 3.4838, 1 
D00270, hsa222545, 3.4798, 1 
D00494, hsa2913, 3.4536, 1 
D00270, hsa2913, 3.4495, 1 
D03881, hsa2914, 3.4490, 1 
D00493, hsa4543, 3.4476, 1 
D00494, hsa2912, 3.4470, 1 
D01390, hsa2916, 3.4466, 1 
D02150, hsa2916, 3.4466, 1 
D00270, hsa2912, 3.4429, 1 
D01390, hsa338442, 3.4363, 1 
D02150, hsa338442, 3.4363, 1 
D00493, hsa6010, 3.4347, 1 
D00493, hsa9052, 3.4336, 1 
D00503, hsa2914, 3.4295, 1 
D00632, hsa2914, 3.4289, 1 
D02359, hsa2918, 3.4156, 1 
D03879, hsa2917, 3.4039, 1 
D03621, hsa2917, 3.3959, 1 
D00996, hsa2918, 3.3933, 1 
D01358, hsa2917, 3.3919, 1 
D03858, hsa2917, 3.3681, 1 
D01390, hsa8843, 3.3657, 1 
D02150, hsa8843, 3.3657, 1 
D00480, hsa2550, 3.3572, 1 
D01390, hsa222545, 3.3509, 1 
D02150, hsa222545, 3.3509, 1 
D00480, hsa9283, 3.3464, 1 
D00493, hsa148, 3.3463, 1 
D00493, hsa3352, 3.3386, 1 
D02070, hsa2918, 3.3312, 1 
D00480, hsa1268, 3.3293, 1 
D03881, hsa2917, 3.3273, 1 
D02354, hsa2916, 3.3271, 1 
D00493, hsa3351, 3.3208, 1 
D01390, hsa2913, 3.3206, 1 
D02150, hsa2913, 3.3206, 1 
D00480, hsa2911, 3.3201, 1 
D02354, hsa338442, 3.3169, 1 
D01390, hsa2912, 3.3140, 1 
D02150, hsa2912, 3.3140, 1 
D00079, hsa2918, 3.3086, 1 
D00503, hsa2917, 3.3078, 1 
D00632, hsa2917, 3.3072, 1 
D00480, hsa2915, 3.2993, 1 
D00493, hsa150, 3.2745, 1 
D01118, hsa2914, 3.2620, 1 
D00493, hsa3362, 3.2512, 1 
D00300, hsa2918, 3.2482, 1 
D02354, hsa8843, 3.2462, 1 
D00371, hsa2914, 3.2405, 1 
D00494, hsa2550, 3.2404, 1 
D00493, hsa23620, 3.2371, 1 
D00270, hsa2550, 3.2363, 1 
D02354, hsa222545, 3.2315, 1 
D00494, hsa9283, 3.2295, 1 
D00493, hsa152, 3.2271, 1 
D00270, hsa9283, 3.2255, 1 
D00598, hsa2918, 3.2160, 1 
D00494, hsa1268, 3.2124, 1 
D03879, hsa2916, 3.2106, 1 
D00270, hsa1268, 3.2083, 1 
D00494, hsa2911, 3.2033, 1 
D03621, hsa2916, 3.2026, 1 
D00480, hsa4543, 3.2021, 1 
D02354, hsa2913, 3.2011, 1 
D03879, hsa338442, 3.2003, 1 
D00270, hsa2911, 3.1993, 1 
D01358, hsa2916, 3.1986, 1 
D00180, hsa2918, 3.1982, 1 
D02354, hsa2912, 3.1945, 1 
D03621, hsa338442, 3.1923, 1 
D00480, hsa6010, 3.1891, 1 
D01358, hsa338442, 3.1882, 1 
D00480, hsa9052, 3.1880, 1 
D00494, hsa2915, 3.1824, 1 
D00270, hsa2915, 3.1784, 1 
D03858, hsa2916, 3.1748, 1 
D03858, hsa338442, 3.1646, 1 
D00493, hsa146, 3.1631, 1 
D00493, hsa5032, 3.1587, 1 
D00493, hsa3355, 3.1581, 1 
D00095, hsa2918, 3.1571, 1 
D00493, hsa4988, 3.1523, 1 
D00493, hsa7201, 3.1467, 1 
D02359, hsa2914, 3.1422, 1 
D00493, hsa4985, 3.1412, 1 
D01118, hsa2917, 3.1403, 1 
D00483, hsa2918, 3.1346, 1 
D03881, hsa2916, 3.1340, 1 
D00493, hsa10161, 3.1300, 1 
D03879, hsa8843, 3.1296, 1 
D03881, hsa338442, 3.1237, 1 
D03621, hsa8843, 3.1216, 1 
D00996, hsa2914, 3.1200, 1 
D00371, hsa2917, 3.1188, 1 
D00493, hsa3577, 3.1181, 1 
D01358, hsa8843, 3.1176, 1 
D00493, hsa1129, 3.1168, 1 
D00790, hsa2918, 3.1161, 1 
D03879, hsa222545, 3.1149, 1 
D00503, hsa2916, 3.1145, 1 
D00632, hsa2916, 3.1139, 1 
D01390, hsa2550, 3.1075, 1 
D02150, hsa2550, 3.1075, 1 
D03621, hsa222545, 3.1069, 1 
D00503, hsa338442, 3.1041, 1 
D00632, hsa338442, 3.1036, 1 
D01358, hsa222545, 3.1029, 1 
D00480, hsa148, 3.1012, 1 
D00493, hsa2846, 3.0967, 1 
D01390, hsa9283, 3.0967, 1 
D02150, hsa9283, 3.0967, 1 
D03858, hsa8843, 3.0940, 1 
D00480, hsa3352, 3.0932, 1 
D00494, hsa4543, 3.0853, 1 
D03879, hsa2913, 3.0846, 1 
D00270, hsa3269, 3.0836, 1 
D00270, hsa4543, 3.0812, 1 
D01390, hsa1268, 3.0796, 1 
D02150, hsa1268, 3.0796, 1 
D03858, hsa222545, 3.0792, 1 
D03879, hsa2912, 3.0780, 1 
D00493, hsa3350, 3.0770, 1 
D03621, hsa2913, 3.0766, 1 
D00480, hsa3351, 3.0753, 1 
D01358, hsa2913, 3.0726, 1 
D00494, hsa6010, 3.0723, 1 
D00493, hsa153, 3.0720, 1 
D00494, hsa9052, 3.0712, 1 
D01390, hsa2911, 3.0704, 1 
D02150, hsa2911, 3.0704, 1 
D03621, hsa2912, 3.0700, 1 
D00270, hsa6010, 3.0683, 1 
D00270, hsa9052, 3.0671, 1 
D01358, hsa2912, 3.0660, 1 
D02070, hsa2914, 3.0580, 1 
D00493, hsa3360, 3.0577, 1 
D00493, hsa147, 3.0566, 1 
D03881, hsa8843, 3.0531, 1 
D01390, hsa2915, 3.0496, 1 
D02150, hsa2915, 3.0496, 1 
D03858, hsa2913, 3.0489, 1 
D03858, hsa2912, 3.0423, 1 
D03881, hsa222545, 3.0383, 1 
D00079, hsa2914, 3.0353, 1 
D00503, hsa8843, 3.0335, 1 
D00632, hsa8843, 3.0330, 1 
D00493, hsa1128, 3.0319, 1 
D00480, hsa150, 3.0292, 1 
D00493, hsa3361, 3.0215, 1 
D02359, hsa2917, 3.0206, 1 
D00503, hsa222545, 3.0189, 1 
D00632, hsa222545, 3.0183, 1 
D03881, hsa2913, 3.0081, 1 
D00480, hsa3362, 3.0058, 1 
D00493, hsa151, 3.0044, 1 
D03881, hsa2912, 3.0015, 1 
D00493, hsa5733, 2.9999, 1 
D00996, hsa2917, 2.9984, 1 
D00493, hsa154, 2.9935, 1 
D00480, hsa23620, 2.9917, 1 
D00503, hsa2913, 2.9886, 1 
D02354, hsa2550, 2.9883, 1 
D00632, hsa2913, 2.9880, 1 
D00503, hsa2912, 2.9820, 1 
D00480, hsa152, 2.9818, 1 
D00632, hsa2912, 2.9814, 1 
D00270, hsa148, 2.9800, 1 
D02354, hsa9283, 2.9775, 1 
D00494, hsa3352, 2.9764, 1 
D00300, hsa2914, 2.9750, 1 
D00270, hsa3352, 2.9724, 1 
D00493, hsa3354, 2.9712, 1 
D00493, hsa4986, 2.9693, 1 
D02354, hsa1268, 2.9603, 1 
D00494, hsa3351, 2.9586, 1 
D01390, hsa3269, 2.9549, 1 
D02150, hsa3269, 2.9549, 1 
D00493, hsa1234, 2.9549, 1 
D00270, hsa3351, 2.9546, 1 
D01390, hsa4543, 2.9525, 1 
D02150, hsa4543, 2.9525, 1 
D02354, hsa2911, 2.9511, 1 
D01118, hsa2916, 2.9472, 1 
D00598, hsa2914, 2.9428, 1 
D00493, hsa1132, 2.9424, 1 
D01390, hsa6010, 2.9395, 1 
D02150, hsa6010, 2.9395, 1 
D01390, hsa9052, 2.9385, 1 
D02150, hsa9052, 2.9385, 1 
D01118, hsa338442, 2.9369, 1 
D02070, hsa2917, 2.9364, 1 
D00493, hsa6755, 2.9361, 1 
D02354, hsa2915, 2.9302, 1 
D00480, hsa1813, 2.9264, 1 
D00371, hsa2916, 2.9257, 1 
D00180, hsa2914, 2.9250, 1 
D00136, hsa2918, 2.9188, 1 
D00480, hsa146, 2.9182, 1 
D00371, hsa338442, 2.9155, 1 
D00079, hsa2917, 2.9138, 1 
D00480, hsa5032, 2.9134, 1 
D00480, hsa3355, 2.9127, 1 
D00494, hsa150, 2.9125, 1 
D00480, hsa4988, 2.9070, 1 
D00493, hsa3363, 2.9041, 1 
D00480, hsa1814, 2.9032, 1 
D00480, hsa7201, 2.9014, 1 
D00480, hsa4985, 2.8959, 1 
D00563, hsa2918, 2.8916, 1 
D00494, hsa3362, 2.8891, 1 
D00493, hsa3274, 2.8888, 1 
D00270, hsa3362, 2.8850, 1 
D00480, hsa10161, 2.8847, 1 
D00095, hsa2914, 2.8840, 1 
D00665, hsa2918, 2.8825, 1 
D00480, hsa1812, 2.8796, 1 
D00494, hsa23620, 2.8750, 1 
D00480, hsa3577, 2.8729, 1 
D00493, hsa1910, 2.8723, 1 
D00493, hsa155, 2.8719, 1 
D03879, hsa2550, 2.8717, 1 
D00480, hsa1129, 2.8714, 1 
D00270, hsa23620, 2.8709, 1 
D00493, hsa1909, 2.8706, 1 
D01118, hsa8843, 2.8663, 1 
D00494, hsa152, 2.8651, 1 
D03621, hsa2550, 2.8637, 1 
D00483, hsa2914, 2.8615, 1 
D00270, hsa152, 2.8610, 1 
D03879, hsa9283, 2.8609, 1 
D01358, hsa2550, 2.8598, 1 
D00493, hsa6752, 2.8571, 1 
D00300, hsa2917, 2.8535, 1 
D03621, hsa9283, 2.8530, 1 
D01118, hsa222545, 2.8516, 1 
D01390, hsa148, 2.8515, 1 
D02150, hsa148, 2.8515, 1 
D00480, hsa2846, 2.8515, 1 
D01358, hsa9283, 2.8490, 1 
