Drug ID, Target ID, score, label 
D00799, hsa6326, 6.3893, 1 
D00799, hsa6323, 6.3450, 1 
D00293, hsa6326, 6.1622, 1 
D00293, hsa6323, 6.1180, 1 
D00812, hsa6326, 6.0592, 1 
D00812, hsa6323, 6.0150, 1 
D00738, hsa8001, 5.9221, 1 
D00480, hsa6326, 5.9092, 1 
D00738, hsa1181, 5.9043, 1 
D00799, hsa6328, 5.8778, 1 
D00791, hsa6326, 5.8663, 1 
D00480, hsa6323, 5.8650, 1 
D00738, hsa6330, 5.8506, 1 
D00738, hsa5310, 5.8291, 1 
D00791, hsa6323, 5.8221, 1 
D00799, hsa8001, 5.8217, 1 
D00738, hsa2741, 5.8194, 1 
D00799, hsa1181, 5.8040, 1 
D00738, hsa2562, 5.8032, 1 
D00738, hsa59284, 5.7980, 1 
D00738, hsa3778, 5.7845, 1 
D00738, hsa2742, 5.7809, 1 
D00738, hsa2902, 5.7770, 1 
D00738, hsa2561, 5.7678, 1 
D00799, hsa6330, 5.7503, 1 
D00799, hsa5310, 5.7288, 1 
D00799, hsa2741, 5.7191, 1 
D00799, hsa2562, 5.7029, 1 
D00738, hsa2560, 5.7028, 1 
D00799, hsa59284, 5.6978, 1 
D00799, hsa3778, 5.6842, 1 
D00799, hsa2742, 5.6806, 1 
D00799, hsa2902, 5.6767, 1 
D00799, hsa2561, 5.6675, 1 
D00293, hsa6328, 5.6509, 1 
D06172, hsa6326, 5.6333, 1 
D01287, hsa8001, 5.6263, 1 
D01287, hsa1181, 5.6087, 1 
D00799, hsa2560, 5.6024, 1 
D00816, hsa6326, 5.5985, 1 
D00293, hsa8001, 5.5950, 1 
D06172, hsa6323, 5.5891, 1 
D00293, hsa1181, 5.5772, 1 
D00738, hsa57657, 5.5552, 1 
D01287, hsa6330, 5.5550, 1 
D00816, hsa6323, 5.5543, 1 
D00812, hsa6328, 5.5480, 1 
D00738, hsa285242, 5.5381, 1 
D00738, hsa8514, 5.5358, 1 
D01287, hsa5310, 5.5335, 1 
D00738, hsa3779, 5.5332, 1 
D00629, hsa6326, 5.5295, 1 
D01287, hsa2741, 5.5237, 1 
D00293, hsa6330, 5.5235, 1 
D00738, hsa7881, 5.5206, 1 
D00798, hsa6326, 5.5141, 1 
D01287, hsa2562, 5.5075, 1 
D01287, hsa59284, 5.5024, 1 
D00293, hsa5310, 5.5020, 1 
D00812, hsa8001, 5.4918, 1 
D01287, hsa3778, 5.4888, 1 
D00629, hsa6323, 5.4853, 1 
D01287, hsa2742, 5.4852, 1 
D01287, hsa2902, 5.4814, 1 
D00812, hsa1181, 5.4742, 1 
D01287, hsa2561, 5.4721, 1 
D00293, hsa59284, 5.4709, 1 
D00798, hsa6323, 5.4700, 1 
D02088, hsa8001, 5.4582, 1 
D00293, hsa3778, 5.4574, 1 
D00799, hsa57657, 5.4550, 1 
D00293, hsa2902, 5.4499, 1 
D02088, hsa1181, 5.4402, 1 
D00799, hsa285242, 5.4377, 1 
D00799, hsa8514, 5.4355, 1 
D00799, hsa3779, 5.4330, 1 
D00738, hsa2895, 5.4205, 1 
D00812, hsa6330, 5.4205, 1 
D00799, hsa7881, 5.4204, 1 
D01287, hsa2560, 5.4071, 1 
D00812, hsa5310, 5.3990, 1 
D00480, hsa6328, 5.3981, 1 
D00738, hsa51802, 5.3914, 1 
D00812, hsa2741, 5.3892, 1 
D02088, hsa6330, 5.3865, 1 
D00812, hsa2562, 5.3730, 1 
D00812, hsa59284, 5.3679, 1 
D00738, hsa57192, 5.3676, 1 
D02088, hsa5310, 5.3651, 1 
D00809, hsa6326, 5.3646, 1 
D02088, hsa2741, 5.3556, 1 
D00791, hsa6328, 5.3552, 1 
D00812, hsa3778, 5.3543, 1 
D00812, hsa2742, 5.3508, 1 
D00812, hsa2902, 5.3469, 1 
D00480, hsa8001, 5.3423, 1 
D01450, hsa8001, 5.3408, 1 
D02088, hsa2562, 5.3394, 1 
D00812, hsa2561, 5.3376, 1 
D02088, hsa59284, 5.3340, 1 
D00480, hsa1181, 5.3245, 1 
D00738, hsa3708, 5.3241, 1 
D00738, hsa2898, 5.3237, 1 
D01450, hsa1181, 5.3232, 1 
D00809, hsa6323, 5.3205, 1 
D02088, hsa3778, 5.3204, 1 
D00799, hsa2895, 5.3203, 1 
D00738, hsa3710, 5.3178, 1 
D02088, hsa2742, 5.3172, 1 
D02088, hsa2902, 5.3130, 1 
D02088, hsa2561, 5.3041, 1 
D00791, hsa8001, 5.2991, 1 
D00738, hsa786, 5.2944, 1 
D00799, hsa51802, 5.2912, 1 
D00791, hsa1181, 5.2815, 1 
D00812, hsa2560, 5.2726, 1 
D00480, hsa6330, 5.2709, 1 
D01450, hsa6330, 5.2695, 1 
D00799, hsa57192, 5.2673, 1 
D01287, hsa57657, 5.2597, 1 
D00480, hsa5310, 5.2494, 1 
D01450, hsa5310, 5.2480, 1 
D01287, hsa285242, 5.2425, 1 
D00738, hsa3751, 5.2416, 1 
D01287, hsa8514, 5.2403, 1 
D00480, hsa2741, 5.2398, 1 
D02088, hsa2560, 5.2390, 1 
D01450, hsa2741, 5.2382, 1 
D01287, hsa3779, 5.2377, 1 
D00740, hsa8001, 5.2361, 1 
D00293, hsa57657, 5.2283, 1 
D00791, hsa6330, 5.2278, 1 
D01287, hsa7881, 5.2251, 1 
D00799, hsa3708, 5.2239, 1 
D00480, hsa2562, 5.2236, 1 
D00799, hsa2898, 5.2235, 1 
D01450, hsa2562, 5.2220, 1 
D00480, hsa59284, 5.2183, 1 
D00740, hsa1181, 5.2183, 1 
D00799, hsa3710, 5.2176, 1 
D01450, hsa59284, 5.2170, 1 
D00293, hsa285242, 5.2111, 1 
D00293, hsa8514, 5.2088, 1 
D00791, hsa5310, 5.2063, 1 
D00293, hsa3779, 5.2063, 1 
